X[mm]	Y[mm]	IBx[G.cm]	IBy[G.cm]	IBz[G.cm]
5.	-1.	-3.196001889	-87.686834	1.021093208e-10
6.	-1.	-3.748455766	-84.19594363	4.043056175e-11
7.	-1.	-4.25156129	-80.17347542	8.302695532e-11
8.	-1.	-4.696256686	-75.67340028	-1.090869654e-10
9.	-1.	-5.073925403	-70.75872722	1.259960963e-10
10.	-1.	-5.376918485	-65.50082855	6.047064359e-11
-10.	0.	1.975766846e-9	-65.36935646	8.92686918e-11
-9.	0.	3.438490764e-10	-70.58831345	-2.502963302e-11
-8.	0.	9.322354443e-10	-75.46750892	5.347056977e-11
-7.	0.	1.539245652e-9	-79.93619625	1.896743684e-10
-6.	0.	2.187502478e-9	-83.93171642	1.225482212e-10
-5.	0.	9.734577304e-10	-87.40021056	-1.299709364e-10
-4.	0.	1.914766456e-10	-90.29686416	1.757951351e-10
-3.	0.	-3.896256029e-10	-92.58579778	-3.0366113e-11
-2.	0.	-1.323403788e-9	-94.23973933	1.940542254e-10
-1.	0.	-1.874396166e-9	-95.23961024	-1.551919133e-10
0.	0.	-2.791826433e-9	-95.57414205	1.663386941e-11
1.	0.	-3.34503935e-9	-95.23961023	-1.38314955e-10
2.	0.	-4.072627732e-9	-94.23973932	-2.167160305e-11
3.	0.	-4.408207819e-9	-92.5857978	6.4782713e-11
4.	0.	-6.441355011e-9	-90.29686416	7.469229312e-11
5.	0.	-5.739410096e-9	-87.40021055	7.000212224e-11
6.	0.	-5.019282838e-9	-83.93171641	-1.667116562e-11
7.	0.	-6.448898672e-9	-79.93619626	7.931104757e-11
8.	0.	-5.155689371e-9	-75.46750889	5.02287579e-11
9.	0.	-5.96192864e-9	-70.58831341	-8.700590503e-12
10.	0.	-3.6462636e-9	-65.36935646	5.636856448e-11
-10.	1.	-5.376918477	-65.50082856	-1.422889406e-11
-9.	1.	-5.073925396	-70.75872724	8.506114925e-11
-8.	1.	-4.696256679	-75.67340027	1.713062623e-10
-7.	1.	-4.25156128	-80.1734754	-2.085372554e-10
-6.	1.	-3.748455761	-84.19594365	-2.84785518e-11
-5.	1.	-3.196001883	-87.68683407	1.712997218e-10
-4.	1.	-2.603285442	-90.6013981	-4.976778144e-11
-3.	1.	-1.979127432	-92.90393165	1.54510753e-10
-2.	1.	-1.331935542	-94.56737922	-1.237503185e-10
-1.	1.	-0.6696844299	-95.57286145	-2.202465659e-10
0.	1.	-2.803955422e-9	-95.90924737	8.093247387e-12
1.	1.	0.6696844253	-95.57286141	-4.440769421e-11
2.	1.	1.331935538	-94.56737922	-2.025067248e-10
3.	1.	1.979127425	-92.90393169	-5.455787918e-12
4.	1.	2.603285437	-90.60139809	2.702996135e-11
5.	1.	3.196001878	-87.68683401	-1.668126419e-10
6.	1.	3.748455758	-84.19594367	1.248989275e-10
7.	1.	4.251561276	-80.17347539	-2.313909831e-10
8.	1.	4.696256674	-75.67340031	6.409196014e-11
9.	1.	5.073925396	-70.75872725	4.345650958e-11
10.	1.	5.376918476	-65.5008286	2.804640444e-11
-10.	2.	-10.83497429	-65.89784398	-2.271635237e-10
-9.	2.	-10.22278316	-71.27348103	3.489149398e-10
-8.	2.	-9.459699803	-76.29521104	2.367484803e-10
-7.	2.	-8.561603893	-80.88979279	4.176311331e-12
-6.	2.	-7.546260016	-84.99320729	2.77288321e-10
-5.	2.	-6.432218152	-88.5512084	-1.665174437e-12
-4.	2.	-5.23793988	-91.51931687	2.770759457e-10
-3.	2.	-3.981213611	-93.862424	4.047912178e-11
-2.	2.	-2.678870155	-95.55418314	-3.174496633e-10
-1.	2.	-1.346769046	-96.57635701	1.819780428e-10
0.	2.	-3.097170177e-9	-96.91825484	-2.179988982e-10
1.	2.	1.346769042	-96.57635698	2.50681956e-10
2.	2.	2.678870146	-95.55418311	-2.150428286e-10
3.	2.	3.981213606	-93.86242398	2.990295677e-10
4.	2.	5.237939876	-91.51931688	1.454744243e-10
5.	2.	6.432218147	-88.55120839	2.465536236e-10
6.	2.	7.546260013	-84.99320729	5.592202711e-10
7.	2.	8.561603889	-80.88979275	2.07269542e-10
8.	2.	9.459699808	-76.29521108	1.232817019e-10
9.	2.	10.22278315	-71.27348102	-3.362647995e-10
10.	2.	10.83497429	-65.89784396	1.107244676e-11
-10.	3.	-16.45742276	-66.56846591	-5.176926816e-10
-9.	3.	-15.52304996	-72.14340694	2.896099456e-10
-8.	3.	-14.35846621	-77.34563769	2.561528186e-10
-7.	3.	-12.98901868	-82.09883314	4.477285939e-10
-6.	3.	-11.4427391	-86.33743433	3.530887802e-10
-5.	3.	-9.748549968	-90.00695396	-1.16500903e-10
-4.	3.	-7.934874985	-93.06360967	2.550324941e-10
-3.	3.	-6.028749002	-95.47352415	-3.176349005e-11
-2.	3.	-4.055429971	-97.21173567	-2.200217886e-10
-1.	3.	-2.038449235	-98.26122771	1.992132411e-10
0.	3.	-3.650537191e-9	-98.61213484	3.803364572e-10
1.	3.	2.03844923	-98.26122775	1.604603229e-10
2.	3.	4.055429972	-97.21173568	1.003845485e-11
